MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR
2010,CADILLAC,ESCALADE AWD,SPECIAL PURPOSE,6.2,8,A6,E,21.2,13.3,13,21,3540,5664
2010,CADILLAC,SRX,SPECIAL PURPOSE,3,6,AS6,X,11.5,8,25,35,1980,4554
2010,CADILLAC,SRX AWD,SPECIAL PURPOSE,2.8,6,AS6,Z,13.6,9.1,21,31,2320,5336
2010,CADILLAC,SRX AWD,SPECIAL PURPOSE,3,6,AS6,X,12.2,8.8,23,32,2140,4922
2010,CADILLAC,STS,MID-SIZE,3.6,6,AS6,X,11.4,6.9,25,41,1880,4324
2010,CADILLAC,STS,MID-SIZE,4.6,8,AS6,Z,14.1,8.1,20,35,2280,5244
2010,CADILLAC,STS AWD,MID-SIZE,3.6,6,AS6,X,11.7,7.4,24,38,1960,4508
2010,CADILLAC,STS AWD,MID-SIZE,4.6,8,AS6,Z,14.2,9.1,20,31,2380,5474
2010,CHEVROLET,AVALANCHE,PICKUP TRUCK,5.3,8,A6,X,14.4,9.6,20,29,2440,5612
2010,CHEVROLET,AVALANCHE,PICKUP TRUCK,5.3,8,A6,E,19.6,12.6,14,22,3300,5280
2010,CHEVROLET,AVEO,COMPACT,1.6,4,A4,X,8.2,5.8,34,49,1420,3266
2010,CHEVROLET,AVEO,COMPACT,1.6,4,M5,X,7.5,5.7,38,50,1340,3082
2010,CHEVROLET,AVEO 5,SUBCOMPACT,1.6,4,A4,X,8.2,5.8,34,49,1420,3266
2010,CHEVROLET,AVEO 5,SUBCOMPACT,1.6,4,M5,X,7.5,5.7,38,50,1340,3082
2010,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,11.4,6.9,25,41,1880,4324
2010,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,12.3,6.8,23,42,1960,4508
2010,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,13.2,7.9,21,36,2160,4968
2010,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,13.2,8.2,21,34,2180,5014
2010,CHEVROLET,COBALT,COMPACT,2.2,4,A4,X,8.7,5.9,32,48,1480,3404
2010,CHEVROLET,COBALT,COMPACT,2.2,4,M5,X,8.4,5.8,34,49,1460,3358
2010,CHEVROLET,COBALT SS,SUBCOMPACT,2,4,M5,Z,9.3,6.6,30,43,1620,3726
2010,CHEVROLET,COBALT XFE,SUBCOMPACT,2.2,4,M5,X,8,5.4,35,52,1360,3128
2010,CHEVROLET,COLORADO,PICKUP TRUCK,2.9,4,A4,X,11.4,8.1,25,35,2000,4600
2010,CHEVROLET,COLORADO,PICKUP TRUCK,2.9,4,M5,X,11.3,7.8,25,36,1960,4508
2010,CHEVROLET,COLORADO,PICKUP TRUCK,3.7,5,A4,X,12.5,8.7,23,32,2160,4968
2010,CHEVROLET,COLORADO,PICKUP TRUCK,5.3,8,A4,X,14.4,9.9,20,29,2480,5704
2010,CHEVROLET,COLORADO 4WD,PICKUP TRUCK,2.9,4,A4,X,12,8.5,24,33,2100,4830
2010,CHEVROLET,COLORADO 4WD,PICKUP TRUCK,2.9,4,M5,X,11.7,8.1,24,35,2020,4646
