MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2004,BMW,545i,MID-SIZE,4.4,8,M6,Z,14.4,8.6,20,33,2358,5423,,,,,,
2004,BMW,645Ci,SUBCOMPACT,4.4,8,A6,Z,13.0,8.2,22,34,2168,4986,,,,,,
2004,BMW,645Ci,SUBCOMPACT,4.4,8,AM6,Z,14.3,8.7,20,32,2356,5419,,,,,,
2004,BMW,645Ci,SUBCOMPACT,4.4,8,M6,Z,14.4,8.6,20,33,2358,5423,,,,,,
2004,BMW,645Ci CONVERTIBLE,SUBCOMPACT,4.4,8,A6,Z,13.1,8.3,22,34,2188,5032,,,,,,
2004,BMW,645Ci CONVERTIBLE,SUBCOMPACT,4.4,8,AM6,Z,15.6,9.4,18,30,2562,5893,,,,,,
2004,BMW,645Ci CONVERTIBLE,SUBCOMPACT,4.4,8,M6,Z,15.7,9.4,18,30,2573,5918,,,,,,
2004,BMW,745i,FULL-SIZE,4.4,8,A6,Z,13.1,8.3,22,34,2188,5032,,,,,,
2004,BMW,745Li,FULL-SIZE,4.4,8,A6,Z,13.1,8.3,22,34,2188,5032,,,,,,
2004,BMW,760Li,FULL-SIZE,6.0,12,A6,Z,15.8,9.5,18,30,2593,5964,,,,,,
2004,BMW,M3,SUBCOMPACT,3.2,6,AM6,Z,13.3,8.8,21,32,2255,5187,,,,,,
2004,BMW,M3,SUBCOMPACT,3.2,6,M6,Z,14.5,9.0,19,31,2405,5532,,,,,,
2004,BMW,M3 CONVERTIBLE,SUBCOMPACT,3.2,6,AM6,Z,13.8,9.5,20,30,2373,5458,,,,,,
2004,BMW,M3 CONVERTIBLE,SUBCOMPACT,3.2,6,M6,Z,14.9,9.4,19,30,2485,5716,,,,,,
2004,BMW,X3,SPECIAL PURPOSE,3.0,6,A5,Z,14.8,9.3,19,30,2465,5670,,,,,,
2004,BMW,X3,SPECIAL PURPOSE,3.0,6,M6,Z,13.8,8.8,20,32,2310,5313,,,,,,
2004,BMW,X5,SPECIAL PURPOSE,3.0,6,A6,Z,14.9,10.4,19,27,2575,5923,,,,,,
2004,BMW,X5,SPECIAL PURPOSE,3.0,6,M6,Z,15.9,10.1,18,28,2658,6113,,,,,,
2004,BMW,X5,SPECIAL PURPOSE,4.4,8,A6,Z,14.8,9.9,19,29,2519,5794,,,,,,
2004,BMW,Z4 ROADSTER,TWO-SEATER,2.5,6,A5,Z,11.4,7.7,25,37,1947,4478,,,,,,
2004,BMW,Z4 ROADSTER,TWO-SEATER,2.5,6,AM6,Z,10.7,7.0,26,40,1807,4156,,,,,,
2004,BMW,Z4 ROADSTER,TWO-SEATER,2.5,6,M5,Z,11.7,7.8,24,36,1989,4575,,,,,,
2004,BMW,Z4 ROADSTER,TWO-SEATER,3.0,6,A5,Z,12.2,8.0,23,35,2062,4743,,,,,,
2004,BMW,Z4 ROADSTER,TWO-SEATER,3.0,6,AM6,Z,10.8,6.9,26,41,1809,4161,,,,,,
2004,BMW,Z4 ROADSTER,TWO-SEATER,3.0,6,M6,Z,11.4,7.4,25,38,1920,4416,,,,,,
2004,BUICK,CENTURY,MID-SIZE,3.1,6,A4,X,11.7,7.2,24,39,1935,4451,,,,,,
2004,BUICK,LESABRE,FULL-SIZE,3.8,6,A4,X,11.9,7.3,24,39,1966,4522,,,,,,
2004,BUICK,PARK AVENUE,FULL-SIZE,3.8,6,A4,X,11.9,7.3,24,39,1966,4522,,,,,,
2004,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,13.4,8.2,21,34,2212,5088,,,,,,
2004,BUICK,RAINIER,SPECIAL PURPOSE,4.2,6,A4,X,15.1,10.4,19,27,2597,5973,,,,,,
2004,BUICK,RAINIER,SPECIAL PURPOSE,5.3,8,A4,X,16.2,12.0,17,24,2862,6583,,,,,,
2004,BUICK,RAINIER AWD,SPECIAL PURPOSE,4.2,6,A4,X,15.5,10.5,18,27,2650,6095,,,,,,
2004,BUICK,RAINIER AWD,SPECIAL PURPOSE,5.3,8,A4,X,17.0,13.1,17,22,3049,7013,,,,,,
2004,BUICK,REGAL,MID-SIZE,3.8,6,A4,X,11.8,7.1,24,40,1937,4455,,,,,,
2004,BUICK,REGAL #,MID-SIZE,3.8,6,A4,Z,13.4,8.2,21,34,2212,5088,,,,,,
2004,BUICK,RENDEZVOUS,SPECIAL PURPOSE,3.4,6,A4,X,12.0,7.8,24,36,2022,4651,,,,,,
2004,BUICK,RENDEZVOUS AWD,SPECIAL PURPOSE,3.4,6,A4,X,13.7,9.6,21,29,2371,5453,,,,,,
2004,BUICK,RENDEZVOUS AWD,SPECIAL PURPOSE,3.6,6,A4,X,13.3,8.5,21,33,2228,5124,,,,,,
